cum_bench,cum_wo_cost,cum_w_cost
0.0,0.0,0.0
-0.005588161838161847,0.002954070000000112,0.0024089527580425283
-0.004191121378621316,0.009286170000000113,0.008741052758042529
-0.016062062937062936,0.0007816400000000383,0.00023652275804245462
-0.015359640359640332,-0.009657429999999887,-0.01020254724195747
-0.01047390109890109,-0.021815219999999927,-0.02236033724195751
-0.012565559440559409,-0.02532865,-0.025873767241957585
-0.006985202297702239,-0.03142355999999996,-0.031968677241957545
-0.02094780219780218,-0.04989838999999985,-0.05044350724195743
-0.022344842657342573,-0.029249639999999848,-0.02979475724195743
-0.018856143856143863,-0.04508219999999981,-0.0456273172419574
-0.004191121378621319,-0.03884361999999992,-0.03938873724195751
-0.011168518981018881,-0.041253599999999994,-0.041798717241957585
-0.020253184315684257,-0.05548985999999996,-0.05603497724195755
-0.012565559440559412,-0.05015304999999981,-0.0506981672419574
-0.012565559440559412,-0.05123372999999989,-0.05177884724195748
-0.008374438061937958,-0.03646947999999989,-0.03701459724195748
-0.0062827797202796385,-0.03567340999999996,-0.03621852724195755
-0.0013970404595403958,-0.030735979999999885,-0.031281097241957476
-0.0069852022977022424,-0.0462113,-0.04675641724195759
-0.015359640359640336,-0.062472299999999814,-0.0630174172419574
-0.01675668081918073,-0.07468341999999993,-0.07522853724195752
-0.023039460539460502,-0.0758900299999999,-0.07643514724195749
-0.04189560439560436,-0.10319304999999983,-0.10373816724195742
-0.043995067432567356,-0.10214853999999987,-0.10269365724195746
-0.037704483016982905,-0.11305620999999999,-0.11360132724195757
-0.04539210789210789,-0.14012205000000003,-0.1406671672419576
-0.041200986513486436,-0.1269936299999999,-0.1275387472419575
-0.038406905594405516,-0.12690185999999998,-0.12744697724195755
-0.039101523476523445,-0.12919395,-0.12973906724195758
-0.04120098651348644,-0.12477150999999996,-0.12531662724195755
-0.04748376623376622,-0.12817885,-0.1287239672419576
-0.043292644855144766,-0.13232165,-0.1328667672419576
-0.0446896853146853,-0.1134834799999999,-0.11402859724195748
-0.03142170329670328,-0.1042489299999999,-0.10479404724195748
-0.02862762237762236,-0.10156490000000001,-0.10211001724195759
-0.02723058191808183,-0.10228121999999994,-0.10282633724195751
-0.01606206293706295,-0.10229238999999986,-0.10283750724195743
-0.01606206293706295,-0.10810640999999997,-0.10865152724195755
-0.039101523476523445,-0.13777699000000004,-0.13832210724195762
-0.030727085414585353,-0.12191246999999994,-0.12245758724195752
-0.02164242007991998,-0.11186680000000002,-0.11241191724195759
-0.020947802197802193,-0.10719927999999991,-0.10774439724195749
-0.020947802197802193,-0.10630687999999991,-0.10685199724195749
-0.032124125874125886,-0.11176571999999994,-0.11231083724195752
-0.027933004495504433,-0.10926991999999994,-0.10981503724195751
-0.057263049450549386,-0.13399966999999993,-0.1345447872419575
-0.06285121128871124,-0.13378145999999996,-0.13432657724195754
-0.04888080669330662,-0.12594638999999985,-0.12649150724195743
-0.04888080669330662,-0.13090471999999992,-0.1314498372419575
-0.046789148351648296,-0.11717057999999989,-0.11771569724195746
-0.04189560439560438,-0.1113179499999998,-0.11186306724195738
-0.04329264485514477,-0.10885386999999992,-0.1093989872419575
-0.05027784715284715,-0.11320675,-0.11375186724195757
-0.04120098651348646,-0.10861887999999989,-0.10916399724195747
-0.05307192807192808,-0.11170801999999992,-0.1122531372419575
-0.062148788711288636,-0.12822361999999993,-0.1287687372419575
-0.06773695054945048,-0.13748916999999994,-0.13803428724195752
-0.08100493256743249,-0.15692805999999998,-0.15747317724195756
-0.08030250999001003,-0.14747910000000003,-0.1480242172419576
-0.08659309440559435,-0.15678498999999987,-0.15733010724195745
-0.07122564935064933,-0.1431213299999999,-0.14366644724195748
-0.07611919330669326,-0.15615321,-0.15669832724195756
-0.08868475274725267,-0.17316261,-0.17370772724195757
-0.08799013486513488,-0.16638472000000015,-0.16697452206195773
-0.08240197302697302,-0.16449540000000012,-0.1650852020619577
-0.09217345154845151,-0.17867429000000015,-0.17926409206195773
-0.09636457292707297,-0.18432422000000012,-0.1849140220619577
-0.09846403596403597,-0.18323865000000011,-0.1838284520619577
-0.09846403596403597,-0.18893744000000015,-0.18952724206195773
-0.11382367632367629,-0.2073902300000001,-0.20798003206195767
-0.1124266358641359,-0.19656272000000014,-0.1971525220619577
-0.11592313936063929,-0.20471958000000018,-0.20530938206195776
-0.12150349650349646,-0.20442019000000014,-0.20500999206195772
-0.12639704045954037,-0.2290023000000001,-0.22959210206195768
-0.13966502247752238,-0.2507364500000001,-0.2513262520619577
-0.1424591033966033,-0.2479210000000001,-0.2485108020619577
-0.16480394605394602,-0.2763322500000001,-0.2769220520619577
-0.19692807192807188,-0.30463787000000014,-0.3052276720619577
-0.1620098651348651,-0.2853119000000001,-0.2859017020619577
-0.15712412587412586,-0.2762861500000001,-0.2768759520619577
-0.15991820679320679,-0.25572490000000014,-0.2563147020619577
-0.13687094155844148,-0.2316062900000002,-0.23219609206195777
-0.12988573926073924,-0.1952053900000002,-0.19579519206195778
-0.1375655594405594,-0.2092220900000002,-0.20981189206195777
-0.13267982017982016,-0.20689737000000016,-0.20748717206195774
-0.13198520229770225,-0.19703971000000012,-0.1976295120619577
-0.14315372127872125,-0.20413414000000019,-0.20472394206195776
-0.14455076173826178,-0.20656344000000018,-0.20715324206195776
-0.14175668081918086,-0.20509361000000012,-0.2056834120619577
-0.10405219780219782,-0.17160134000000019,-0.17219114206195776
-0.1138236763236763,-0.17291875000000015,-0.17350855206195773
-0.11312905844155838,-0.17077187000000016,-0.17136167206195774
-0.11102959540459538,-0.1659210800000001,-0.1665108820619577
-0.11801479770229761,-0.17435082000000016,-0.17494062206195773
-0.10754089660339652,-0.16974047000000014,-0.17033027206195772
-0.09217345154845151,-0.14883192000000034,-0.14942172206195792
-0.09427291458541451,-0.15365069000000026,-0.15424049206195783
-0.11382367632367629,-0.16760187000000004,-0.16819167206195762
-0.10893793706293706,-0.16095147000000012,-0.1615412720619577
-0.12919112137862132,-0.1789568000000001,-0.1795466020619577
-0.13407686063936056,-0.20173112000000012,-0.2023209220619577
-0.13058816183816185,-0.20115607000000013,-0.2017458720619577
-0.12848869880119887,-0.2084375500000001,-0.2090273520619577
-0.11173201798201801,-0.17475065000000012,-0.1753404520619577
-0.11661775724275725,-0.1806933000000001,-0.1812831020619577
-0.11452609890109892,-0.1599215500000002,-0.16051135206195777
-0.10754089660339655,-0.15967553000000026,-0.16026533206195784
-0.09427291458541454,-0.15659995000000018,-0.15718975206195776
-0.096364572927073,-0.16117204000000013,-0.1617618420619577
-0.08449363136863138,-0.14148261000000015,-0.14207241206195773
-0.0879901348651349,-0.14049921000000015,-0.14108901206195773
-0.09147883366633362,-0.13800236000000016,-0.13859216206195774
